,count,unique,top,freq
0,500,33,P68688,369
1,500,42,P41221,242
2,500,50,P56118,218
3,500,57,P52847,157
4,500,64,P90615,150
5,500,71,P48107,127
6,500,75,P98960,90
7,500,81,P42042,71
8,500,78,P90226,55
9,500,77,P37469,60
10,500,78,P37469,49
11,500,79,P81629,53
12,500,82,0,55
13,500,92,0,56
14,500,94,0,61
15,500,94,0,66
16,500,95,0,76
17,500,100,0,79
18,500,99,0,81
19,500,100,0,88
20,500,103,0,89
21,500,107,0,94
22,500,109,0,101
23,500,113,0,107
24,500,113,0,111
25,500,113,0,115
26,500,114,0,120
27,500,125,0,124
28,500,122,0,129
29,500,120,0,133
30,500,126,0,134
31,500,121,0,138
32,500,129,0,141
33,500,129,0,145
34,500,133,0,146
35,500,131,0,146
36,500,133,0,150
37,500,127,0,154
38,500,134,0,156
39,500,129,0,159
40,500,141,0,160
41,500,146,0,160
42,500,139,0,163
43,500,138,0,164
44,500,140,0,166
45,500,137,0,168
46,500,142,0,169
47,500,132,0,169
48,500,139,0,171
49,500,143,0,173
50,500,144,0,174
51,500,149,0,176
52,500,151,0,180
53,500,148,0,181
54,500,141,0,181
55,500,147,0,182
56,500,140,0,186
57,500,145,0,188
58,500,138,0,192
59,500,144,0,196
60,500,147,0,197
61,500,152,0,200
62,500,147,0,204
63,500,151,0,206
64,500,151,0,207
65,500,141,0,209
66,500,148,0,211
67,500,151,0,212
68,500,143,0,214
69,500,147,0,216
70,500,159,0,219
71,500,149,0,221
72,500,146,0,221
73,500,147,0,223
74,500,147,0,226
75,500,147,0,229
76,500,148,0,233
77,500,148,0,235
78,500,144,0,237
79,500,150,0,240
80,500,150,0,242
81,500,144,0,244
82,500,138,0,248
83,500,140,0,252
84,500,129,0,256
85,500,139,0,257
86,500,147,0,258
87,500,141,0,258
88,500,147,0,260
89,500,146,0,262
90,500,141,0,264
91,500,137,0,268
92,500,142,0,270
93,500,143,0,270
94,500,131,0,271
95,500,131,0,272
96,500,138,0,275
97,500,135,0,278
98,500,137,0,278
99,500,130,0,280
100,500,132,0,280
101,500,132,0,282
102,500,139,0,282
103,500,145,0,284
104,500,134,0,286
105,500,134,0,289
106,500,142,0,290
107,500,136,0,292
108,500,137,0,292
109,500,135,0,293
110,500,131,0,293
111,500,128,0,295
112,500,127,0,295
113,500,136,0,295
114,500,139,0,295
115,500,132,0,296
116,500,128,0,296
117,500,131,0,298
118,500,135,0,301
119,500,139,0,302
120,500,136,0,303
121,500,133,0,303
122,500,126,0,304
123,500,132,0,304
124,500,127,0,304
125,500,124,0,309
126,500,127,0,310
127,500,133,0,310
128,500,135,0,313
129,500,131,0,315
130,500,127,0,315
131,500,122,0,317
132,500,131,0,317
133,500,125,0,320
134,500,126,0,320
135,500,132,0,323
136,500,128,0,326
137,500,126,0,327
138,500,121,0,331
139,500,119,0,331
140,500,121,0,331
141,500,128,0,331
142,500,121,0,331
143,500,120,0,332
144,500,117,0,333
145,500,123,0,334
146,500,116,0,336
147,500,116,0,337
148,500,116,0,337
149,500,123,0,340
150,500,120,0,342
151,500,121,0,343
152,500,121,0,344
153,500,117,0,344
154,500,117,0,346
155,500,108,0,349
156,500,116,0,351
157,500,108,0,351
158,500,103,0,354
159,500,106,0,355
160,500,112,0,356
161,500,110,0,359
162,500,107,0,359
163,500,100,0,360
164,500,111,0,361
165,500,106,0,361
166,500,109,0,361
167,500,113,0,363
168,500,103,0,367
169,500,105,0,367
170,500,110,0,368
171,500,100,0,369
172,500,98,0,369
173,500,100,0,370
174,500,102,0,371
175,500,102,0,372
176,500,103,0,374
177,500,103,0,374
178,500,100,0,377
179,500,100,0,378
180,500,98,0,379
181,500,99,0,379
182,500,93,0,380
183,500,94,0,381
184,500,97,0,383
185,500,90,0,383
186,500,94,0,385
187,500,93,0,386
188,500,92,0,386
189,500,94,0,387
190,500,89,0,389
191,500,95,0,389
192,500,92,0,389
193,500,93,0,390
194,500,89,0,392
195,500,95,0,393
196,500,81,0,393
197,500,88,0,394
198,500,87,0,394
199,500,92,0,395
200,500,83,0,396
201,500,84,0,396
202,500,87,0,396
203,500,89,0,396
204,500,88,0,396
205,500,81,0,396
206,500,81,0,397
207,500,84,0,397
208,500,82,0,397
209,500,84,0,397
210,500,81,0,397
211,500,76,0,398
212,500,80,0,399
213,500,79,0,402
214,500,79,0,403
215,500,74,0,404
216,500,76,0,405
217,500,76,0,408
218,500,71,0,410
219,500,74,0,411
220,500,71,0,412
221,500,67,0,412
222,500,74,0,412
223,500,65,0,412
224,500,70,0,413
225,500,73,0,415
226,500,67,0,417
227,500,65,0,419
228,500,65,0,422
229,500,66,0,422
230,500,67,0,423
231,500,67,0,423
232,500,63,0,426
233,500,66,0,426
234,500,63,0,426
235,500,65,0,427
236,500,60,0,427
237,500,66,0,427
238,500,66,0,429
239,500,60,0,430
240,500,59,0,430
241,500,60,0,430
242,500,61,0,431
243,500,61,0,432
244,500,60,0,432
245,500,58,0,433
246,500,58,0,433
247,500,57,0,433
248,500,60,0,434
249,500,56,0,438
250,500,54,0,439
251,500,54,0,439
252,500,54,0,440
253,500,48,0,441
254,500,49,0,441
255,500,46,0,441
256,500,51,0,441
257,500,53,0,441
258,500,50,0,442
259,500,52,0,442
260,500,53,0,443
261,500,53,0,444
262,500,51,0,444
263,500,49,0,444
264,500,51,0,444
265,500,46,0,445
266,500,47,0,446
267,500,46,0,446
268,500,47,0,446
269,500,48,0,446
270,500,48,0,450
271,500,46,0,450
272,500,45,0,451
273,500,44,0,451
274,500,47,0,453
275,500,46,0,454
276,500,40,0,455
277,500,45,0,455
278,500,41,0,456
279,500,44,0,456
280,500,40,0,456
281,500,41,0,456
282,500,41,0,456
283,500,42,0,456
284,500,37,0,456
285,500,38,0,456
286,500,40,0,456
287,500,40,0,457
288,500,41,0,457
289,500,41,0,457
290,500,40,0,457
291,500,40,0,457
292,500,41,0,457
293,500,39,0,457
294,500,39,0,458
295,500,36,0,458
296,500,35,0,459
297,500,35,0,461
298,500,35,0,461
299,500,36,0,464
300,500,35,0,464
301,500,34,0,465
302,500,29,0,466
303,500,32,0,466
304,500,30,0,466
305,500,31,0,466
306,500,32,0,466
307,500,28,0,467
308,500,30,0,467
309,500,30,0,467
310,500,31,0,467
311,500,32,0,467
312,500,33,0,467
313,500,31,0,469
314,500,30,0,469
315,500,29,0,469
316,500,29,0,470
317,500,26,0,470
318,500,29,0,470
319,500,28,0,471
320,500,28,0,471
321,500,27,0,472
322,500,28,0,472
323,500,27,0,472
324,500,25,0,473
325,500,25,0,473
326,500,25,0,473
327,500,25,0,473
328,500,26,0,473
329,500,25,0,473
330,500,25,0,473
331,500,26,0,473
332,500,24,0,473
333,500,26,0,473
334,500,24,0,473
335,500,23,0,473
336,500,26,0,474
337,500,27,0,474
338,500,26,0,474
339,500,22,0,474
340,500,23,0,476
